quarter_index,lp_id,lp_name,investment_call,mgmt_fee_call,total_call
10,LP-03,Harborview Insurance Co.,385000.0,27500.0,412500.0
10,LP-04,Cascade Partners Fund of Funds,350000.0,25000.0,375000.0
10,LP-05,Elmwood Family Office,280000.0,20000.0,300000.0
10,LP-06,Tanager Sovereign Partners,280000.0,20000.0,300000.0
10,LP-07,Birchwood College Endowment,210000.0,15000.0,225000.0
10,LP-08,Kestrel Insurance Group,175000.0,12500.0,187500.0
10,LP-09,Wrenfield Family Office,140000.0,10000.0,150000.0
10,LP-10,Alder Street Foundation,140000.0,10000.0,150000.0
10,LP-11,Pinecrest Pension Trust,126000.0,9000.0,135000.0
10,LP-12,Ivywood Capital Partners (FoF),105000.0,7500.0,112500.0
10,LP-13,Grayling Family Office,105000.0,7500.0,112500.0
10,LP-14,Redstone Family Office,112000.0,8000.0,120000.0
10,LP-15,Sable Foundation,112000.0,8000.0,120000.0
11,LP-01,Northbridge State Pension Fund,0.0,40000.0,40000.0
11,LP-02,Meridian University Endowment,0.0,30000.0,30000.0
11,LP-03,Harborview Insurance Co.,0.0,27500.0,27500.0
11,LP-04,Cascade Partners Fund of Funds,0.0,25000.0,25000.0
11,LP-05,Elmwood Family Office,0.0,20000.0,20000.0
11,LP-06,Tanager Sovereign Partners,0.0,20000.0,20000.0
11,LP-07,Birchwood College Endowment,0.0,15000.0,15000.0
11,LP-08,Kestrel Insurance Group,0.0,12500.0,12500.0
11,LP-09,Wrenfield Family Office,0.0,10000.0,10000.0
11,LP-10,Alder Street Foundation,0.0,10000.0,10000.0
11,LP-11,Pinecrest Pension Trust,0.0,9000.0,9000.0
11,LP-12,Ivywood Capital Partners (FoF),0.0,7500.0,7500.0
11,LP-13,Grayling Family Office,0.0,7500.0,7500.0
11,LP-14,Redstone Family Office,0.0,8000.0,8000.0
11,LP-15,Sable Foundation,0.0,8000.0,8000.0
12,LP-01,Northbridge State Pension Fund,0.0,40000.0,40000.0
12,LP-02,Meridian University Endowment,0.0,30000.0,30000.0
12,LP-03,Harborview Insurance Co.,0.0,27500.0,27500.0
12,LP-04,Cascade Partners Fund of Funds,0.0,25000.0,25000.0
12,LP-05,Elmwood Family Office,0.0,20000.0,20000.0
12,LP-06,Tanager Sovereign Partners,0.0,20000.0,20000.0
12,LP-07,Birchwood College Endowment,0.0,15000.0,15000.0
12,LP-08,Kestrel Insurance Group,0.0,12500.0,12500.0
12,LP-09,Wrenfield Family Office,0.0,10000.0,10000.0
12,LP-10,Alder Street Foundation,0.0,10000.0,10000.0
12,LP-11,Pinecrest Pension Trust,0.0,9000.0,9000.0
12,LP-12,Ivywood Capital Partners (FoF),0.0,7500.0,7500.0
12,LP-13,Grayling Family Office,0.0,7500.0,7500.0
12,LP-14,Redstone Family Office,0.0,8000.0,8000.0
12,LP-15,Sable Foundation,0.0,8000.0,8000.0
13,LP-01,Northbridge State Pension Fund,0.0,36400.0,36400.0
13,LP-02,Meridian University Endowment,0.0,27300.0,27300.0
13,LP-03,Harborview Insurance Co.,0.0,25025.0,25025.0
13,LP-04,Cascade Partners Fund of Funds,0.0,22750.0,22750.0
13,LP-05,Elmwood Family Office,0.0,18200.0,18200.0
13,LP-06,Tanager Sovereign Partners,0.0,18200.0,18200.0
13,LP-07,Birchwood College Endowment,0.0,13650.0,13650.0
13,LP-08,Kestrel Insurance Group,0.0,11375.0,11375.0
13,LP-09,Wrenfield Family Office,0.0,9100.0,9100.0
13,LP-10,Alder Street Foundation,0.0,9100.0,9100.0
13,LP-11,Pinecrest Pension Trust,0.0,8190.0,8190.0
13,LP-12,Ivywood Capital Partners (FoF),0.0,6825.0,6825.0
13,LP-13,Grayling Family Office,0.0,6825.0,6825.0
13,LP-14,Redstone Family Office,0.0,7280.0,7280.0
13,LP-15,Sable Foundation,0.0,7280.0,7280.0
14,LP-01,Northbridge State Pension Fund,0.0,36400.0,36400.0
14,LP-02,Meridian University Endowment,0.0,27300.0,27300.0
14,LP-03,Harborview Insurance Co.,0.0,25025.0,25025.0
14,LP-04,Cascade Partners Fund of Funds,0.0,22750.0,22750.0
14,LP-05,Elmwood Family Office,0.0,18200.0,18200.0
14,LP-06,Tanager Sovereign Partners,0.0,18200.0,18200.0
14,LP-07,Birchwood College Endowment,0.0,13650.0,13650.0
14,LP-08,Kestrel Insurance Group,0.0,11375.0,11375.0
14,LP-09,Wrenfield Family Office,0.0,9100.0,9100.0
14,LP-10,Alder Street Foundation,0.0,9100.0,9100.0
14,LP-11,Pinecrest Pension Trust,0.0,8190.0,8190.0
14,LP-12,Ivywood Capital Partners (FoF),0.0,6825.0,6825.0
14,LP-13,Grayling Family Office,0.0,6825.0,6825.0
14,LP-14,Redstone Family Office,0.0,7280.0,7280.0
14,LP-15,Sable Foundation,0.0,7280.0,7280.0
15,LP-01,Northbridge State Pension Fund,0.0,31600.0,31600.0
15,LP-02,Meridian University Endowment,0.0,23700.0,23700.0
15,LP-03,Harborview Insurance Co.,0.0,21725.0,21725.0
15,LP-04,Cascade Partners Fund of Funds,0.0,19750.0,19750.0
15,LP-05,Elmwood Family Office,0.0,15800.0,15800.0
15,LP-06,Tanager Sovereign Partners,0.0,15800.0,15800.0
15,LP-07,Birchwood College Endowment,0.0,11850.0,11850.0
15,LP-08,Kestrel Insurance Group,0.0,9875.0,9875.0
15,LP-09,Wrenfield Family Office,0.0,7900.0,7900.0
15,LP-10,Alder Street Foundation,0.0,7900.0,7900.0
15,LP-11,Pinecrest Pension Trust,0.0,7110.0,7110.0
15,LP-12,Ivywood Capital Partners (FoF),0.0,5925.0,5925.0
15,LP-13,Grayling Family Office,0.0,5925.0,5925.0
15,LP-14,Redstone Family Office,0.0,6320.0,6320.0
15,LP-15,Sable Foundation,0.0,6320.0,6320.0
16,LP-01,Northbridge State Pension Fund,0.0,31600.0,31600.0
16,LP-02,Meridian University Endowment,0.0,23700.0,23700.0
16,LP-03,Harborview Insurance Co.,0.0,21725.0,21725.0
16,LP-04,Cascade Partners Fund of Funds,0.0,19750.0,19750.0
16,LP-05,Elmwood Family Office,0.0,15800.0,15800.0
16,LP-06,Tanager Sovereign Partners,0.0,15800.0,15800.0
16,LP-07,Birchwood College Endowment,0.0,11850.0,11850.0
16,LP-08,Kestrel Insurance Group,0.0,9875.0,9875.0
16,LP-09,Wrenfield Family Office,0.0,7900.0,7900.0
16,LP-10,Alder Street Foundation,0.0,7900.0,7900.0
16,LP-11,Pinecrest Pension Trust,0.0,7110.0,7110.0
16,LP-12,Ivywood Capital Partners (FoF),0.0,5925.0,5925.0
16,LP-13,Grayling Family Office,0.0,5925.0,5925.0
16,LP-14,Redstone Family Office,0.0,6320.0,6320.0
16,LP-15,Sable Foundation,0.0,6320.0,6320.0
17,LP-01,Northbridge State Pension Fund,0.0,27200.0,27200.0
17,LP-02,Meridian University Endowment,0.0,20400.0,20400.0
17,LP-03,Harborview Insurance Co.,0.0,18700.0,18700.0
17,LP-04,Cascade Partners Fund of Funds,0.0,17000.0,17000.0
17,LP-05,Elmwood Family Office,0.0,13600.0,13600.0
17,LP-06,Tanager Sovereign Partners,0.0,13600.0,13600.0
17,LP-07,Birchwood College Endowment,0.0,10200.0,10200.0
17,LP-08,Kestrel Insurance Group,0.0,8500.0,8500.0
17,LP-09,Wrenfield Family Office,0.0,6800.0,6800.0
17,LP-10,Alder Street Foundation,0.0,6800.0,6800.0
17,LP-11,Pinecrest Pension Trust,0.0,6120.0,6120.0
17,LP-12,Ivywood Capital Partners (FoF),0.0,5100.0,5100.0
17,LP-13,Grayling Family Office,0.0,5100.0,5100.0
17,LP-14,Redstone Family Office,0.0,5440.0,5440.0
17,LP-15,Sable Foundation,0.0,5440.0,5440.0
18,LP-01,Northbridge State Pension Fund,0.0,27200.0,27200.0
18,LP-02,Meridian University Endowment,0.0,20400.0,20400.0
18,LP-03,Harborview Insurance Co.,0.0,18700.0,18700.0
18,LP-04,Cascade Partners Fund of Funds,0.0,17000.0,17000.0
18,LP-05,Elmwood Family Office,0.0,13600.0,13600.0
18,LP-06,Tanager Sovereign Partners,0.0,13600.0,13600.0
18,LP-07,Birchwood College Endowment,0.0,10200.0,10200.0
18,LP-08,Kestrel Insurance Group,0.0,8500.0,8500.0
18,LP-09,Wrenfield Family Office,0.0,6800.0,6800.0
18,LP-10,Alder Street Foundation,0.0,6800.0,6800.0
18,LP-11,Pinecrest Pension Trust,0.0,6120.0,6120.0
18,LP-12,Ivywood Capital Partners (FoF),0.0,5100.0,5100.0
18,LP-13,Grayling Family Office,0.0,5100.0,5100.0
18,LP-14,Redstone Family Office,0.0,5440.0,5440.0
18,LP-15,Sable Foundation,0.0,5440.0,5440.0
